target	textid	text	pair	condition
non-entailment	114	The student saw the tourists .	The tourists saw the student .	lexical
non-entailment	115	The lawyer called the actor .	The actor called the lawyer .	lexical
non-entailment	116	The athlete advised the professor .	The professor advised the athlete .	lexical
non-entailment	117	The doctor encouraged the students .	The students encouraged the doctor .	lexical
non-entailment	118	The actor recognized the senator .	The senator recognized the actor .	lexical
non-entailment	119	The judge encouraged the actor .	The actor encouraged the judge .	lexical
non-entailment	120	The judge contacted the professor .	The professor contacted the judge .	lexical
non-entailment	121	The lawyers saw the senators .	The senators saw the lawyers .	lexical
non-entailment	122	The professor avoided the presidents .	The presidents avoided the professor .	lexical
non-entailment	123	The scientists encouraged the artist .	The artist encouraged the scientists .	lexical
non-entailment	124	The doctors recommended the artists .	The artists recommended the doctors .	lexical
non-entailment	125	The artists believed the lawyer .	The lawyer believed the artists .	lexical
non-entailment	126	The judges stopped the professors .	The professors stopped the judges .	lexical
non-entailment	127	The senator mentioned the managers .	The managers mentioned the senator .	lexical
non-entailment	128	The secretaries mentioned the judges .	The judges mentioned the secretaries .	lexical
non-entailment	129	The tourists introduced the managers .	The managers introduced the tourists .	lexical
non-entailment	130	The tourists recommended the senator .	The senator recommended the tourists .	lexical
non-entailment	131	The managers recognized the scientists .	The scientists recognized the managers .	lexical
non-entailment	132	The artist recommended the lawyer .	The lawyer recommended the artist .	lexical
non-entailment	133	The managers helped the student .	The student helped the managers .	lexical
non-entailment	134	The senators admired the authors .	The authors admired the senators .	lexical
non-entailment	135	The author recommended the doctor .	The doctor recommended the author .	lexical
non-entailment	136	The managers introduced the senator .	The senator introduced the managers .	lexical
non-entailment	137	The bankers stopped the scientists .	The scientists stopped the bankers .	lexical
non-entailment	138	The doctor admired the professor .	The professor admired the doctor .	lexical
non-entailment	139	The actor believed the senators .	The senators believed the actor .	lexical
non-entailment	140	The bankers admired the scientist .	The scientist admired the bankers .	lexical
non-entailment	141	The students advised the judge .	The judge advised the students .	lexical
non-entailment	142	The actors recognized the professors .	The professors recognized the actors .	lexical
non-entailment	143	The doctor stopped the judges .	The judges stopped the doctor .	lexical
non-entailment	144	The senators avoided the scientist .	The scientist avoided the senators .	lexical
non-entailment	145	The author admired the actors .	The actors admired the author .	lexical
non-entailment	146	The artist helped the judge .	The judge helped the artist .	lexical
non-entailment	147	The senator advised the author .	The author advised the senator .	lexical
non-entailment	148	The lawyers helped the bankers .	The bankers helped the lawyers .	lexical
non-entailment	149	The senator encouraged the student .	The student encouraged the senator .	lexical
non-entailment	150	The doctor contacted the banker .	The banker contacted the doctor .	lexical
non-entailment	151	The actors introduced the doctor .	The doctor introduced the actors .	lexical
non-entailment	152	The judge stopped the managers .	The managers stopped the judge .	lexical
non-entailment	153	The tourists saw the presidents .	The presidents saw the tourists .	lexical
non-entailment	154	The student supported the lawyer .	The lawyer supported the student .	lexical
non-entailment	155	The secretary saw the student .	The student saw the secretary .	lexical
non-entailment	156	The actor recommended the artist .	The artist recommended the actor .	lexical
non-entailment	157	The athletes recognized the managers .	The managers recognized the athletes .	lexical
non-entailment	158	The athletes mentioned the actors .	The actors mentioned the athletes .	lexical
non-entailment	159	The judges mentioned the president .	The president mentioned the judges .	lexical
non-entailment	160	The scientist recommended the authors .	The authors recommended the scientist .	lexical
non-entailment	161	The students introduced the doctors .	The doctors introduced the students .	lexical
non-entailment	162	The president recognized the athlete .	The athlete recognized the president .	lexical
non-entailment	163	The tourist believed the doctor .	The doctor believed the tourist .	lexical
non-entailment	164	The athletes contacted the lawyers .	The lawyers contacted the athletes .	lexical
non-entailment	165	The lawyers recognized the secretary .	The secretary recognized the lawyers .	lexical
non-entailment	166	The doctor contacted the tourists .	The tourists contacted the doctor .	lexical
non-entailment	167	The author supported the judge .	The judge supported the author .	lexical
non-entailment	168	The doctor believed the presidents .	The presidents believed the doctor .	lexical
non-entailment	169	The actor supported the doctors .	The doctors supported the actor .	lexical
non-entailment	170	The scientists avoided the lawyers .	The lawyers avoided the scientists .	lexical
non-entailment	171	The tourists believed the authors .	The authors believed the tourists .	lexical
non-entailment	172	The judges supported the artists .	The artists supported the judges .	lexical
non-entailment	173	The athlete recognized the scientist .	The scientist recognized the athlete .	lexical
non-entailment	174	The president recognized the banker .	The banker recognized the president .	lexical
non-entailment	175	The professor saw the presidents .	The presidents saw the professor .	lexical
non-entailment	176	The senator helped the doctor .	The doctor helped the senator .	lexical
non-entailment	177	The president recommended the students .	The students recommended the president .	lexical
non-entailment	178	The artist mentioned the president .	The president mentioned the artist .	lexical
non-entailment	179	The secretaries called the senator .	The senator called the secretaries .	lexical
non-entailment	180	The authors thanked the scientists .	The scientists thanked the authors .	lexical
non-entailment	181	The senators encouraged the artists .	The artists encouraged the senators .	lexical
non-entailment	182	The lawyers encouraged the actors .	The actors encouraged the lawyers .	lexical
non-entailment	183	The bankers admired the manager .	The manager admired the bankers .	lexical
non-entailment	184	The managers advised the secretaries .	The secretaries advised the managers .	lexical
non-entailment	185	The artists helped the doctors .	The doctors helped the artists .	lexical
non-entailment	186	The professor supported the students .	The students supported the professor .	lexical
non-entailment	187	The artist supported the senators .	The senators supported the artist .	lexical
non-entailment	188	The actor mentioned the scientists .	The scientists mentioned the actor .	lexical
non-entailment	189	The authors supported the actor .	The actor supported the authors .	lexical
non-entailment	190	The secretaries advised the bankers .	The bankers advised the secretaries .	lexical
non-entailment	191	The professors helped the managers .	The managers helped the professors .	lexical
non-entailment	192	The secretary recommended the athletes .	The athletes recommended the secretary .	lexical
non-entailment	193	The managers mentioned the senator .	The senator mentioned the managers .	lexical
non-entailment	194	The bankers advised the artists .	The artists advised the bankers .	lexical
non-entailment	195	The professor thanked the tourist .	The tourist thanked the professor .	lexical
non-entailment	196	The artist introduced the actors .	The actors introduced the artist .	lexical
non-entailment	197	The secretary thanked the manager .	The manager thanked the secretary .	lexical
non-entailment	198	The judges believed the president .	The president believed the judges .	lexical
non-entailment	199	The tourist recommended the banker .	The banker recommended the tourist .	lexical
non-entailment	200	The scientists saw the managers .	The managers saw the scientists .	lexical
non-entailment	201	The artist encouraged the secretary .	The secretary encouraged the artist .	lexical
non-entailment	202	The banker admired the scientist .	The scientist admired the banker .	lexical
non-entailment	203	The students supported the judge .	The judge supported the students .	lexical
non-entailment	204	The author supported the actors .	The actors supported the author .	lexical
non-entailment	205	The athletes recognized the doctors .	The doctors recognized the athletes .	lexical
non-entailment	206	The secretaries contacted the author .	The author contacted the secretaries .	lexical
non-entailment	207	The lawyers thanked the bankers .	The bankers thanked the lawyers .	lexical
non-entailment	208	The bankers recognized the artist .	The artist recognized the bankers .	lexical
non-entailment	209	The lawyers mentioned the scientist .	The scientist mentioned the lawyers .	lexical
non-entailment	210	The lawyer helped the professors .	The professors helped the lawyer .	lexical
non-entailment	211	The tourists stopped the lawyers .	The lawyers stopped the tourists .	lexical
non-entailment	212	The judge recognized the artist .	The artist recognized the judge .	lexical
non-entailment	213	The lawyer recommended the scientist .	The scientist recommended the lawyer .	lexical
non-entailment	214	The bankers stopped the students .	The students stopped the bankers .	lexical
non-entailment	215	The actor avoided the lawyer .	The lawyer avoided the actor .	lexical
non-entailment	216	The athlete avoided the judge .	The judge avoided the athlete .	lexical
non-entailment	217	The tourist supported the judges .	The judges supported the tourist .	lexical
non-entailment	218	The professor saw the banker .	The banker saw the professor .	lexical
non-entailment	219	The lawyer recognized the senators .	The senators recognized the lawyer .	lexical
non-entailment	220	The athletes helped the doctors .	The doctors helped the athletes .	lexical
non-entailment	221	The students mentioned the athlete .	The athlete mentioned the students .	lexical
non-entailment	222	The secretaries recognized the lawyer .	The lawyer recognized the secretaries .	lexical
non-entailment	223	The artists supported the judges .	The judges supported the artists .	lexical
non-entailment	224	The tourists avoided the author .	The author avoided the tourists .	lexical
non-entailment	225	The judge stopped the tourist .	The tourist stopped the judge .	lexical
non-entailment	226	The authors advised the doctors .	The doctors advised the authors .	lexical
non-entailment	227	The author helped the senators .	The senators helped the author .	lexical
non-entailment	228	The professor supported the athlete .	The athlete supported the professor .	lexical
non-entailment	229	The artist called the manager .	The manager called the artist .	lexical
non-entailment	230	The bankers introduced the student .	The student introduced the bankers .	lexical
non-entailment	231	The actors stopped the doctors .	The doctors stopped the actors .	lexical
non-entailment	232	The senators stopped the president .	The president stopped the senators .	lexical
non-entailment	233	The lawyers admired the senator .	The senator admired the lawyers .	lexical
non-entailment	234	The professors recommended the manager .	The manager recommended the professors .	lexical
non-entailment	235	The banker admired the senator .	The senator admired the banker .	lexical
non-entailment	236	The senators avoided the doctors .	The doctors avoided the senators .	lexical
non-entailment	237	The secretary saw the authors .	The authors saw the secretary .	lexical
non-entailment	238	The professors saw the lawyer .	The lawyer saw the professors .	lexical
non-entailment	239	The professor advised the banker .	The banker advised the professor .	lexical
non-entailment	240	The lawyers called the scientists .	The scientists called the lawyers .	lexical
non-entailment	241	The senators stopped the secretary .	The secretary stopped the senators .	lexical
non-entailment	242	The banker helped the students .	The students helped the banker .	lexical
non-entailment	243	The scientists recommended the presidents .	The presidents recommended the scientists .	lexical
non-entailment	244	The doctor saw the author .	The author saw the doctor .	lexical
non-entailment	245	The scientist helped the artist .	The artist helped the scientist .	lexical
non-entailment	246	The athletes contacted the secretaries .	The secretaries contacted the athletes .	lexical
non-entailment	247	The banker supported the athlete .	The athlete supported the banker .	lexical
non-entailment	248	The senators called the athlete .	The athlete called the senators .	lexical
non-entailment	249	The doctor admired the actor .	The actor admired the doctor .	lexical
non-entailment	250	The senator advised the secretaries .	The secretaries advised the senator .	lexical
non-entailment	251	The senator mentioned the students .	The students mentioned the senator .	lexical
non-entailment	252	The doctor saw the presidents .	The presidents saw the doctor .	lexical
non-entailment	253	The lawyer mentioned the actor .	The actor mentioned the lawyer .	lexical
non-entailment	254	The actors contacted the senators .	The senators contacted the actors .	lexical
non-entailment	255	The tourists contacted the authors .	The authors contacted the tourists .	lexical
non-entailment	256	The tourist saw the artist .	The artist saw the tourist .	lexical
non-entailment	257	The athletes stopped the authors .	The authors stopped the athletes .	lexical
non-entailment	258	The judges thanked the secretaries .	The secretaries thanked the judges .	lexical
non-entailment	259	The authors stopped the doctors .	The doctors stopped the authors .	lexical
non-entailment	260	The professors encouraged the student .	The student encouraged the professors .	lexical
non-entailment	261	The athletes thanked the artists .	The artists thanked the athletes .	lexical
non-entailment	262	The scientists encouraged the doctor .	The doctor encouraged the scientists .	lexical
non-entailment	263	The bankers admired the professor .	The professor admired the bankers .	lexical
non-entailment	264	The actor helped the bankers .	The bankers helped the actor .	lexical
non-entailment	265	The lawyers encouraged the secretaries .	The secretaries encouraged the lawyers .	lexical
non-entailment	266	The professors called the manager .	The manager called the professors .	lexical
non-entailment	267	The presidents supported the professor .	The professor supported the presidents .	lexical
non-entailment	268	The secretaries advised the tourists .	The tourists advised the secretaries .	lexical
non-entailment	269	The authors recognized the doctor .	The doctor recognized the authors .	lexical
non-entailment	270	The president contacted the artist .	The artist contacted the president .	lexical
non-entailment	271	The professor thanked the student .	The student thanked the professor .	lexical
non-entailment	272	The actor stopped the professors .	The professors stopped the actor .	lexical
non-entailment	273	The artists avoided the scientist .	The scientist avoided the artists .	lexical
non-entailment	274	The scientists saw the artists .	The artists saw the scientists .	lexical
non-entailment	275	The scientist encouraged the professor .	The professor encouraged the scientist .	lexical
non-entailment	276	The senator contacted the lawyers .	The lawyers contacted the senator .	lexical
non-entailment	277	The president supported the judge .	The judge supported the president .	lexical
non-entailment	278	The secretaries contacted the scientist .	The scientist contacted the secretaries .	lexical
non-entailment	279	The actor recommended the students .	The students recommended the actor .	lexical
non-entailment	280	The authors helped the banker .	The banker helped the authors .	lexical
non-entailment	281	The president called the author .	The author called the president .	lexical
non-entailment	282	The secretary recognized the judge .	The judge recognized the secretary .	lexical
non-entailment	283	The student mentioned the professor .	The professor mentioned the student .	lexical
non-entailment	284	The professors contacted the presidents .	The presidents contacted the professors .	lexical
non-entailment	285	The president recommended the artists .	The artists recommended the president .	lexical
non-entailment	286	The secretary admired the scientist .	The scientist admired the secretary .	lexical
non-entailment	287	The tourist introduced the managers .	The managers introduced the tourist .	lexical
non-entailment	288	The author encouraged the professor .	The professor encouraged the author .	lexical
non-entailment	289	The secretaries supported the tourists .	The tourists supported the secretaries .	lexical
non-entailment	290	The doctor stopped the tourists .	The tourists stopped the doctor .	lexical
non-entailment	291	The artist recommended the judge .	The judge recommended the artist .	lexical
non-entailment	292	The senators helped the judge .	The judge helped the senators .	lexical
non-entailment	293	The artists avoided the scientists .	The scientists avoided the artists .	lexical
non-entailment	294	The student thanked the secretary .	The secretary thanked the student .	lexical
non-entailment	295	The professors recommended the students .	The students recommended the professors .	lexical
non-entailment	296	The professor helped the author .	The author helped the professor .	lexical
non-entailment	297	The students supported the banker .	The banker supported the students .	lexical
non-entailment	298	The manager helped the author .	The author helped the manager .	lexical
non-entailment	299	The tourist supported the senator .	The senator supported the tourist .	lexical
non-entailment	300	The manager called the artists .	The artists called the manager .	lexical
non-entailment	301	The managers recognized the presidents .	The presidents recognized the managers .	lexical
non-entailment	302	The athletes recognized the lawyers .	The lawyers recognized the athletes .	lexical
non-entailment	303	The lawyers believed the judge .	The judge believed the lawyers .	lexical
non-entailment	304	The author believed the actor .	The actor believed the author .	lexical
non-entailment	305	The athlete recognized the managers .	The managers recognized the athlete .	lexical
non-entailment	306	The presidents saw the secretaries .	The secretaries saw the presidents .	lexical
non-entailment	307	The tourist supported the professor .	The professor supported the tourist .	lexical
non-entailment	308	The secretaries believed the artist .	The artist believed the secretaries .	lexical
non-entailment	309	The scientists recognized the students .	The students recognized the scientists .	lexical
non-entailment	310	The lawyers supported the author .	The author supported the lawyers .	lexical
non-entailment	311	The presidents avoided the lawyer .	The lawyer avoided the presidents .	lexical
non-entailment	312	The lawyers recommended the artists .	The artists recommended the lawyers .	lexical
non-entailment	313	The judge introduced the student .	The student introduced the judge .	lexical
non-entailment	314	The senators encouraged the students .	The students encouraged the senators .	lexical
non-entailment	315	The artists saw the managers .	The managers saw the artists .	lexical
non-entailment	316	The manager introduced the athletes .	The athletes introduced the manager .	lexical
non-entailment	317	The presidents mentioned the banker .	The banker mentioned the presidents .	lexical
non-entailment	318	The doctors contacted the bankers .	The bankers contacted the doctors .	lexical
non-entailment	319	The bankers stopped the professors .	The professors stopped the bankers .	lexical
non-entailment	320	The president contacted the author .	The author contacted the president .	lexical
non-entailment	321	The doctor admired the athlete .	The athlete admired the doctor .	lexical
non-entailment	322	The professors saw the actors .	The actors saw the professors .	lexical
non-entailment	323	The students saw the artist .	The artist saw the students .	lexical
non-entailment	324	The lawyers thanked the athlete .	The athlete thanked the lawyers .	lexical
non-entailment	325	The athlete saw the secretary .	The secretary saw the athlete .	lexical
non-entailment	326	The tourists mentioned the actors .	The actors mentioned the tourists .	lexical
non-entailment	327	The authors thanked the doctor .	The doctor thanked the authors .	lexical
non-entailment	328	The senators supported the authors .	The authors supported the senators .	lexical
non-entailment	329	The professors mentioned the banker .	The banker mentioned the professors .	lexical
non-entailment	330	The artists called the actors .	The actors called the artists .	lexical
non-entailment	331	The lawyers recommended the students .	The students recommended the lawyers .	lexical
non-entailment	332	The manager recommended the artists .	The artists recommended the manager .	lexical
non-entailment	333	The tourists introduced the secretaries .	The secretaries introduced the tourists .	lexical
non-entailment	334	The presidents thanked the artists .	The artists thanked the presidents .	lexical
non-entailment	335	The lawyer recognized the scientist .	The scientist recognized the lawyer .	lexical
non-entailment	336	The students recognized the tourists .	The tourists recognized the students .	lexical
non-entailment	337	The secretary believed the actor .	The actor believed the secretary .	lexical
non-entailment	338	The artist contacted the professors .	The professors contacted the artist .	lexical
non-entailment	339	The secretary saw the judge .	The judge saw the secretary .	lexical
non-entailment	340	The judge introduced the athletes .	The athletes introduced the judge .	lexical
non-entailment	341	The author contacted the student .	The student contacted the author .	lexical
non-entailment	342	The managers admired the tourist .	The tourist admired the managers .	lexical
non-entailment	343	The athletes thanked the actors .	The actors thanked the athletes .	lexical
non-entailment	344	The senators helped the lawyers .	The lawyers helped the senators .	lexical
non-entailment	345	The scientists believed the presidents .	The presidents believed the scientists .	lexical
non-entailment	346	The actors admired the professors .	The professors admired the actors .	lexical
non-entailment	347	The scientists introduced the author .	The author introduced the scientists .	lexical
non-entailment	348	The student helped the manager .	The manager helped the student .	lexical
non-entailment	349	The students introduced the professors .	The professors introduced the students .	lexical
non-entailment	350	The professor stopped the athletes .	The athletes stopped the professor .	lexical
non-entailment	351	The managers called the student .	The student called the managers .	lexical
non-entailment	352	The judge stopped the doctor .	The doctor stopped the judge .	lexical
non-entailment	353	The athletes stopped the banker .	The banker stopped the athletes .	lexical
non-entailment	354	The presidents called the doctor .	The doctor called the presidents .	lexical
non-entailment	355	The senator avoided the professors .	The professors avoided the senator .	lexical
non-entailment	356	The senator believed the professors .	The professors believed the senator .	lexical
non-entailment	357	The senator stopped the bankers .	The bankers stopped the senator .	lexical
non-entailment	358	The doctors mentioned the tourist .	The tourist mentioned the doctors .	lexical
non-entailment	359	The bankers supported the professors .	The professors supported the bankers .	lexical
non-entailment	360	The banker avoided the students .	The students avoided the banker .	lexical
non-entailment	361	The banker saw the secretaries .	The secretaries saw the banker .	lexical
non-entailment	362	The actor saw the doctors .	The doctors saw the actor .	lexical
non-entailment	363	The authors stopped the lawyers .	The lawyers stopped the authors .	lexical
non-entailment	364	The scientists recommended the athlete .	The athlete recommended the scientists .	lexical
non-entailment	365	The tourists contacted the artist .	The artist contacted the tourists .	lexical
non-entailment	366	The professors believed the athletes .	The athletes believed the professors .	lexical
non-entailment	367	The lawyer mentioned the senators .	The senators mentioned the lawyer .	lexical
non-entailment	368	The secretary contacted the authors .	The authors contacted the secretary .	lexical
non-entailment	369	The senators believed the student .	The student believed the senators .	lexical
non-entailment	370	The president helped the professors .	The professors helped the president .	lexical
non-entailment	371	The lawyer introduced the banker .	The banker introduced the lawyer .	lexical
non-entailment	372	The presidents avoided the manager .	The manager avoided the presidents .	lexical
non-entailment	373	The actors advised the managers .	The managers advised the actors .	lexical
non-entailment	374	The bankers saw the actor .	The actor saw the bankers .	lexical
non-entailment	375	The doctors contacted the athletes .	The athletes contacted the doctors .	lexical
non-entailment	376	The student advised the lawyers .	The lawyers advised the student .	lexical
non-entailment	377	The scientists believed the actor .	The actor believed the scientists .	lexical
non-entailment	378	The secretaries helped the president .	The president helped the secretaries .	lexical
non-entailment	379	The scientist introduced the artist .	The artist introduced the scientist .	lexical
non-entailment	380	The athlete introduced the judges .	The judges introduced the athlete .	lexical
non-entailment	381	The tourist encouraged the students .	The students encouraged the tourist .	lexical
non-entailment	382	The lawyers introduced the artist .	The artist introduced the lawyers .	lexical
non-entailment	383	The bankers advised the scientist .	The scientist advised the bankers .	lexical
non-entailment	384	The athlete supported the artist .	The artist supported the athlete .	lexical
non-entailment	385	The professor stopped the actors .	The actors stopped the professor .	lexical
non-entailment	386	The actor helped the doctors .	The doctors helped the actor .	lexical
non-entailment	387	The tourists called the author .	The author called the tourists .	lexical
non-entailment	388	The lawyer helped the president .	The president helped the lawyer .	lexical
non-entailment	389	The managers introduced the professors .	The professors introduced the managers .	lexical
non-entailment	390	The secretary contacted the athletes .	The athletes contacted the secretary .	lexical
non-entailment	391	The author helped the bankers .	The bankers helped the author .	lexical
non-entailment	392	The actors saw the athletes .	The athletes saw the actors .	lexical
non-entailment	393	The professors encouraged the students .	The students encouraged the professors .	lexical
non-entailment	394	The actors introduced the banker .	The banker introduced the actors .	lexical
non-entailment	395	The artists recognized the manager .	The manager recognized the artists .	lexical
non-entailment	396	The actors mentioned the students .	The students mentioned the actors .	lexical
non-entailment	397	The actors believed the tourist .	The tourist believed the actors .	lexical
non-entailment	398	The lawyer helped the artist .	The artist helped the lawyer .	lexical
non-entailment	399	The actors recommended the tourist .	The tourist recommended the actors .	lexical
non-entailment	400	The secretary admired the authors .	The authors admired the secretary .	lexical
non-entailment	401	The artist recognized the actors .	The actors recognized the artist .	lexical
