	model	heuristic	target	micro-precision	micro-recall	micro-f1	macro-precision	macro-recall	macro-f1	accuracy
55	../midterm/ReplicateMcCoy/models/bert_09	constituent	non-entailment	1.0	0.8898	0.9416869510001058	1.0	0.8898	0.9416869510001058	0.8898
56	../midterm/ReplicateMcCoy/models/bert_09	lexical	entailment	1.0	0.0294	0.057120652807460655	1.0	0.0294	0.057120652807460655	0.0294
57	../midterm/ReplicateMcCoy/models/bert_09	lexical	non-entailment	1.0	0.8682	0.9294508082646398	1.0	0.8682	0.9294508082646398	0.8682
58	../midterm/ReplicateMcCoy/models/bert_09	subsequence	entailment	1.0	0.003	0.005982053838484547	1.0	0.003	0.005982053838484547	0.003
59	../midterm/ReplicateMcCoy/models/bert_09	subsequence	non-entailment	1.0	0.9712	0.9853896103896104	1.0	0.9712	0.9853896103896104	0.9712
60	../midterm/ReplicateMcCoy/models/bert_10	constituent	entailment	1.0	0.0034	0.006776958341638429	1.0	0.0034	0.006776958341638429	0.0034
61	../midterm/ReplicateMcCoy/models/bert_10	constituent	non-entailment	1.0	0.8688	0.9297945205479452	1.0	0.8688	0.9297945205479452	0.8688
62	../midterm/ReplicateMcCoy/models/bert_10	lexical	entailment	1.0	0.0468	0.08941536110049675	1.0	0.0468	0.08941536110049675	0.0468
63	../midterm/ReplicateMcCoy/models/bert_10	lexical	non-entailment	1.0	0.5364	0.6982556625878678	1.0	0.5364	0.6982556625878678	0.5364
64	../midterm/ReplicateMcCoy/models/bert_10	subsequence	entailment	1.0	0.0084	0.016660055533518445	1.0	0.0084	0.016660055533518445	0.0084
65	../midterm/ReplicateMcCoy/models/bert_10	subsequence	non-entailment	1.0	0.9164	0.9563765393446044	1.0	0.9164	0.9563765393446044	0.9164
66	../midterm/ReplicateMcCoy/models/bert_11	constituent	entailment	1.0	0.0048	0.009554140127388535	1.0	0.0048	0.009554140127388535	0.0048
67	../midterm/ReplicateMcCoy/models/bert_11	constituent	non-entailment	1.0	0.9302	0.9638379442544814	1.0	0.9302	0.9638379442544814	0.9302
68	../midterm/ReplicateMcCoy/models/bert_11	lexical	entailment	1.0	0.0296	0.057498057498057496	1.0	0.0296	0.057498057498057496	0.0296
69	../midterm/ReplicateMcCoy/models/bert_11	lexical	non-entailment	1.0	0.8414	0.9138698816118171	1.0	0.8414	0.9138698816118171	0.8414
70	../midterm/ReplicateMcCoy/models/bert_11	subsequence	entailment	1.0	0.0036	0.007174172977281785	1.0	0.0036	0.007174172977281785	0.0036
71	../midterm/ReplicateMcCoy/models/bert_11	subsequence	non-entailment	1.0	0.9814	0.990612698092258	1.0	0.9814	0.990612698092258	0.9814
72	../midterm/ReplicateMcCoy/models/bert_12	constituent	entailment	1.0	0.006	0.011928429423459244	1.0	0.006	0.011928429423459244	0.006
73	../midterm/ReplicateMcCoy/models/bert_12	constituent	non-entailment	1.0	0.9478	0.9732005339357224	1.0	0.9478	0.9732005339357224	0.9478
74	../midterm/ReplicateMcCoy/models/bert_12	lexical	entailment	1.0	0.039	0.07507218479307026	1.0	0.039	0.07507218479307026	0.039
75	../midterm/ReplicateMcCoy/models/bert_12	lexical	non-entailment	1.0	0.6814	0.8105150469846556	1.0	0.6814	0.8105150469846556	0.6814
76	../midterm/ReplicateMcCoy/models/bert_12	subsequence	entailment	1.0	0.0026	0.005186515060841812	1.0	0.0026	0.005186515060841812	0.0026
77	../midterm/ReplicateMcCoy/models/bert_12	subsequence	non-entailment	1.0	0.9412	0.9697094580671749	1.0	0.9412	0.9697094580671749	0.9412
78	../midterm/ReplicateMcCoy/models/bert_13	constituent	entailment	1.0	0.0122	0.02410590792333531	1.0	0.0122	0.02410590792333531	0.0122
79	../midterm/ReplicateMcCoy/models/bert_13	constituent	non-entailment	1.0	0.9088	0.9522212908633697	1.0	0.9088	0.9522212908633697	0.9088
80	../midterm/ReplicateMcCoy/models/bert_13	lexical	entailment	1.0	0.0354	0.06837937029167472	1.0	0.0354	0.06837937029167472	0.0354
81	../midterm/ReplicateMcCoy/models/bert_13	lexical	non-entailment	1.0	0.5984	0.7487487487487487	1.0	0.5984	0.7487487487487487	0.5984
82	../midterm/ReplicateMcCoy/models/bert_13	subsequence	entailment	1.0	0.0056	0.011137629276054098	1.0	0.0056	0.011137629276054098	0.0056
83	../midterm/ReplicateMcCoy/models/bert_13	subsequence	non-entailment	1.0	0.9326	0.9651247024733519	1.0	0.9326	0.9651247024733519	0.9326
84	../midterm/ReplicateMcCoy/models/bert_14	constituent	entailment	1.0	0.0114	0.02254300968953925	1.0	0.0114	0.02254300968953925	0.0114
85	../midterm/ReplicateMcCoy/models/bert_14	constituent	non-entailment	1.0	0.9274	0.9623326761440282	1.0	0.9274	0.9623326761440282	0.9274
86	../midterm/ReplicateMcCoy/models/bert_14	lexical	entailment	1.0	0.0528	0.10030395136778116	1.0	0.0528	0.10030395136778116	0.0528
87	../midterm/ReplicateMcCoy/models/bert_14	lexical	non-entailment	1.0	0.7188	0.836397486618571	1.0	0.7188	0.836397486618571	0.7188
88	../midterm/ReplicateMcCoy/models/bert_14	subsequence	entailment	1.0	0.0078	0.015479261758285375	1.0	0.0078	0.015479261758285375	0.0078
89	../midterm/ReplicateMcCoy/models/bert_14	subsequence	non-entailment	1.0	0.944	0.9711934156378601	1.0	0.944	0.9711934156378601	0.944
90	../midterm/ReplicateMcCoy/models/bert_15	constituent	entailment	1.0	0.0178	0.034977402240125764	1.0	0.0178	0.034977402240125764	0.0178
91	../midterm/ReplicateMcCoy/models/bert_15	constituent	non-entailment	1.0	0.8634	0.9266931415691746	1.0	0.8634	0.9266931415691746	0.8634
92	../midterm/ReplicateMcCoy/models/bert_15	lexical	entailment	1.0	0.0464	0.08868501529051988	1.0	0.0464	0.08868501529051988	0.0464
93	../midterm/ReplicateMcCoy/models/bert_15	lexical	non-entailment	1.0	0.9024	0.9486963835155593	1.0	0.9024	0.9486963835155593	0.9024
94	../midterm/ReplicateMcCoy/models/bert_15	subsequence	entailment	1.0	0.015	0.029556650246305417	1.0	0.015	0.029556650246305417	0.015
95	../midterm/ReplicateMcCoy/models/bert_15	subsequence	non-entailment	1.0	0.9584	0.9787581699346405	1.0	0.9584	0.9787581699346405	0.9584
96	../midterm/ReplicateMcCoy/models/bert_16	constituent	entailment	1.0	0.007	0.013902681231380337	1.0	0.007	0.013902681231380337	0.007
97	../midterm/ReplicateMcCoy/models/bert_16	constituent	non-entailment	1.0	0.9018	0.9483647071195709	1.0	0.9018	0.9483647071195709	0.9018
98	../midterm/ReplicateMcCoy/models/bert_16	lexical	entailment	1.0	0.025	0.04878048780487805	1.0	0.025	0.04878048780487805	0.025
99	../midterm/ReplicateMcCoy/models/bert_16	lexical	non-entailment	1.0	0.7606	0.8640236283085312	1.0	0.7606	0.8640236283085312	0.7606
100	../midterm/ReplicateMcCoy/models/bert_16	subsequence	entailment	1.0	0.0038	0.007571229328551504	1.0	0.0038	0.007571229328551504	0.0038
101	../midterm/ReplicateMcCoy/models/bert_16	subsequence	non-entailment	1.0	0.9772	0.9884685413716366	1.0	0.9772	0.9884685413716366	0.9772
102	../midterm/ReplicateMcCoy/models/bert_17	constituent	entailment	1.0	0.0064	0.012718600953895072	1.0	0.0064	0.012718600953895072	0.0064
103	../midterm/ReplicateMcCoy/models/bert_17	constituent	non-entailment	1.0	0.9198	0.9582248150849046	1.0	0.9198	0.9582248150849046	0.9198
104	../midterm/ReplicateMcCoy/models/bert_17	lexical	entailment	1.0	0.051	0.09705042816365367	1.0	0.051	0.09705042816365367	0.051
105	../midterm/ReplicateMcCoy/models/bert_17	lexical	non-entailment	1.0	0.6606	0.7956160423943153	1.0	0.6606	0.7956160423943153	0.6606
106	../midterm/ReplicateMcCoy/models/bert_17	subsequence	entailment	1.0	0.0056	0.011137629276054098	1.0	0.0056	0.011137629276054098	0.0056
107	../midterm/ReplicateMcCoy/models/bert_17	subsequence	non-entailment	1.0	0.938	0.9680082559339526	1.0	0.938	0.9680082559339526	0.938
108	../midterm/ReplicateMcCoy/models/bert_18	constituent	entailment	1.0	0.0008	0.0015987210231814548	1.0	0.0008	0.0015987210231814548	0.0008
109	../midterm/ReplicateMcCoy/models/bert_18	constituent	non-entailment	1.0	0.9452	0.9718280896565906	1.0	0.9452	0.9718280896565906	0.9452
110	../midterm/ReplicateMcCoy/models/bert_18	lexical	entailment	1.0	0.0286	0.05560956640093331	1.0	0.0286	0.05560956640093331	0.0286
111	../midterm/ReplicateMcCoy/models/bert_18	lexical	non-entailment	1.0	0.7362	0.8480589793802558	1.0	0.7362	0.8480589793802558	0.7362
112	../midterm/ReplicateMcCoy/models/bert_18	subsequence	entailment	1.0	0.0026	0.005186515060841812	1.0	0.0026	0.005186515060841812	0.0026
113	../midterm/ReplicateMcCoy/models/bert_18	subsequence	non-entailment	1.0	0.9714	0.9854925433701938	1.0	0.9714	0.9854925433701938	0.9714
114	../midterm/ReplicateMcCoy/models/bert_19	constituent	entailment	1.0	0.0072	0.014297061159650517	1.0	0.0072	0.014297061159650517	0.0072
115	../midterm/ReplicateMcCoy/models/bert_19	constituent	non-entailment	1.0	0.8814	0.9369618369299458	1.0	0.8814	0.9369618369299458	0.8814
116	../midterm/ReplicateMcCoy/models/bert_19	lexical	entailment	1.0	0.0254	0.049541642285937194	1.0	0.0254	0.049541642285937194	0.0254
117	../midterm/ReplicateMcCoy/models/bert_19	lexical	non-entailment	1.0	0.8784	0.9352640545144804	1.0	0.8784	0.9352640545144804	0.8784
118	../midterm/ReplicateMcCoy/models/bert_19	subsequence	entailment	1.0	0.0022	0.004390341249251646	1.0	0.0022	0.004390341249251646	0.0022
119	../midterm/ReplicateMcCoy/models/bert_19	subsequence	non-entailment	1.0	0.9616	0.9804241435562806	1.0	0.9616	0.9804241435562806	0.9616
